Temperature,Pressure,x_gr_[Grt],x_spss_[Grt],tot x_prp,Mg#_[Grt],Si_pfu_[Bt],Al_pfu_[Bt],xTi_[Bt],Mg#_[Bt],Si_pfu_[mu],x_cel_[mu],x_pa_[mu],x_ab_[Pl]
690.9090909,6292.929293,0.021056065,0.083258791,0.178025698,0.196377119,2.659700199,1.588334494,0.157308638,0.452646776,0,0,0,0.793668168
693.9393939,6292.929293,0.020823671,0.077989176,0.18095634,0.198363268,2.660100496,1.587303325,0.158387741,0.454388358,0,0,0,0.792466955
696.969697,6292.929293,0.020600523,0.072928844,0.183983986,0.200477722,2.660462421,1.58632695,0.159488995,0.456338507,0,0,0,0.791240198
700,6292.929293,0.020381889,0.068039456,0.187087249,0.202683935,2.66079901,1.585386691,0.160606684,0.458537264,0,0,0,0.789986289
400,6373.737374,0.289422793,0.343899618,0.01565819,0.039703031,2.927457239,1.111813718,0.046494499,0.289314499,3.078127084,0.042493272,0.149090054,0.984003739
403.030303,6373.737374,0.290351761,0.331369564,0.016633363,0.041202729,2.927031791,1.114492462,0.047341967,0.295432719,3.074878851,0.041069824,0.155441975,0.982564089
406.0606061,6373.737374,0.289695683,0.32030714,0.017646527,0.042639,2.925582634,1.118234684,0.048160426,0.300776553,3.071713082,0.039623108,0.161800525,0.981198184
409.0909091,6373.737374,0.283787598,0.314698514,0.01869319,0.043868472,2.920501417,1.125463789,0.048829264,0.303865755,3.068786748,0.038149263,0.167574886,1.892775951
412.1212121,6373.737374,0.276231615,0.311146032,0.019803615,0.045125262,2.913570649,1.134570744,0.049437152,0.306603973,3.066367778,0.036929623,0.171900126,0.909783334
415.1515152,6373.737374,0.271843699,0.302777802,0.020934971,0.046347246,2.908942923,1.141628115,0.050130648,0.309366284,3.06366567,0.035573117,0.177037492,0.904847289
418.1818182,6373.737374,0.26759626,0.295047886,0.022168582,0.047793076,2.904056887,1.149000806,0.050820951,0.313532486,3.061298438,0.034475076,0.181593788,0.899776878
421.2121212,6373.737374,0.263660066,0.289518912,0.023590418,0.049804745,2.898816406,1.156743278,0.051518581,0.321261452,3.059653315,0.033942444,0.184548692,0.894739503
424.2424242,6373.737374,0.25987239,0.28371921,0.025085229,0.051878028,2.893465259,1.164692366,0.052214285,0.329022254,3.058015952,0.033404856,0.187505401,0.889352551
427.2727273,6373.737374,0.256217332,0.277653449,0.026652595,0.054006334,2.888022952,1.172828988,0.052905283,0.336783897,3.05638476,0.032861957,0.19045932,0.883591448
430.3030303,6373.737374,0.252697009,0.271274408,0.028300189,0.056197267,2.88250122,1.181151794,0.053593154,0.344541033,3.054757527,0.032313964,0.193407791,0.877400823
433.3333333,6373.737374,0.249299348,0.264585516,0.03002483,0.058437939,2.876929763,1.189630384,0.05427914,0.35224514,3.053132195,0.031759244,0.196347714,0.870749215
436.3636364,6373.737374,0.246055916,0.257486784,0.031829158,0.060724955,2.871383627,1.198201424,0.054965421,0.359871626,3.051505817,0.031197309,0.199265988,0.86348472
439.3939394,6373.737374,0.242919905,0.24998163,0.033713592,0.063047155,2.865848725,1.206884733,0.055652593,0.367351678,3.049875261,0.030625713,0.202164335,0.855611375
442.4242424,6373.737374,0.239893585,0.241989672,0.035677824,0.065391538,2.860360566,1.21565312,0.056340998,0.374618448,3.048236749,0.030042574,0.20503175,0.84702434
445.4545455,6373.737374,0.236961413,0.23343641,0.037719821,0.06773867,2.854941842,1.224491939,0.057032012,0.381590257,3.046586804,0.029445675,0.207856896,0.83762687
448.4848485,6373.737374,0.233762947,0.223024919,0.039756477,0.069728701,2.849346947,1.233690901,0.057704739,0.386348082,3.044800911,0.028699754,0.21072581,0
451.5151515,6373.737374,0.230116682,0.210466046,0.041756103,0.071242111,2.84333007,1.243478424,0.05834077,0.388425779,3.042869683,0.027791439,0.213635248,0
454.5454545,6373.737374,0.22649196,0.197721335,0.043846751,0.072804815,2.837125926,1.253563496,0.05897147,0.390637362,3.040988438,0.02693477,0.216417606,0
457.5757576,6373.737374,0.222869539,0.184853711,0.046028828,0.074415696,2.830752536,1.263920117,0.059589413,0.393011204,3.039154841,0.026129544,0.219062947,0
460.6060606,6373.737374,0.220138099,0.173315757,0.048459842,0.076645865,2.825457076,1.273374681,0.060281999,0.39843775,3.037516821,0.025558992,0.221359767,0
463.6363636,6373.737374,0.218137909,0.163282762,0.051144384,0.079482041,2.821116642,1.282048939,0.061042355,0.406663104,3.036043558,0.025189153,0.22331297,0
466.6666667,6373.737374,0.215645271,0.152316543,0.053923087,0.082224473,2.817323578,1.290436486,0.061830699,0.414005481,3.034529384,0.02478534,0.225081176,0.742724248
469.6969697,6373.737374,0.208114765,0.146338258,0.057121487,0.085495017,2.812026664,1.300258846,0.062500093,0.421315342,3.033104345,0.024349717,0.227318769,0.732172479
472.7272727,6373.737374,0.201547917,0.138175817,0.060298143,0.088406151,2.805947818,1.310953935,0.063043463,0.427100456,3.031621851,0.023860698,0.229372256,0.720082928
475.7575758,6373.737374,0.194883427,0.130012059,0.063638858,0.091424751,2.799813093,1.321840731,0.063595544,0.432941119,3.030166827,0.023394452,0.231297521,0.707893538
478.7878788,6373.737374,0.1881529,0.121892554,0.067152794,0.094565732,2.793650744,1.332887211,0.064156687,0.438888855,3.028738438,0.022951888,0.233091425,0.695626913
481.8181818,6373.737374,0.181408027,0.113840678,0.070847644,0.097839764,2.787443959,1.344111169,0.064732485,0.445032495,3.027343537,0.02253794,0.234742219,0.683367589
484.8484848,6373.737374,0.174654696,0.105986084,0.074739695,0.101282,2.781199636,1.355496801,0.065327269,0.451414112,3.025980827,0.022151965,0.236241645,0.671157713
487.8787879,6373.737374,0.167946529,0.098380171,0.078837931,0.104910026,2.774896298,1.367080292,0.065939767,0.458103213,3.02465726,0.021799407,0.237585848,0.659094668
490.9090909,6373.737374,0.158401925,0.091643237,0.083292702,0.1086352,2.768598168,1.378796426,0.066509942,0.463666199,3.023346283,0.02134486,0.239661916,0
493.9393939,6373.737374,0.145802887,0.085481945,0.088142427,0.112401052,2.762285323,1.390648707,0.067009635,0.467715207,3.022051284,0.020751788,0.242908121,0
496.969697,6373.737374,0.137058144,0.087183811,0.09377042,0.118642211,2.755931776,1.402355248,0.067936566,0.480465693,3.021025186,0.020560968,0.245502798,0
500,6373.737374,0.131859882,0.092137803,0.096463719,0.122080446,2.753012922,1.407867044,0.06918164,0.48527955,3.020649531,0.020382962,0.249430862,0.665956346
503.030303,6373.737374,0.115771388,0.10363843,0.100139868,0.126218566,2.750519588,1.412654678,0.070339085,0.487270647,3.020571789,0.019811923,0.257660084,0.705824592
506.0606061,6373.737374,0.100290032,0.115378077,0.104034842,0.130717256,2.748025759,1.417501662,0.071545851,0.489936338,3.020664068,0.019307249,0.265387603,0.743453307
509.0909091,6373.737374,0.085471533,0.127546697,0.108210238,0.135704778,2.745427274,1.422566879,0.072807576,0.493685968,3.020901733,0.01886912,0.272709275,0.778994147
512.1212121,6373.737374,0.071360257,0.140097282,0.112632603,0.141145197,2.742508025,1.427947975,0.074086799,0.498291914,3.021257302,0.018479931,0.279731484,0.812754709
515.1515152,6373.737374,0.063874446,0.145429977,0.115102186,0.143917577,2.738783854,1.434083366,0.07522669,0.498536342,3.022871387,0.018954916,0.273442695,0.828496193
518.1818182,6373.737374,0.060935021,0.146475783,0.116453362,0.145285709,2.735448627,1.440096542,0.076437334,0.497402594,3.025017826,0.019934567,0.259949106,0.83169043
521.2121212,6373.737374,0.058314114,0.147211317,0.117759881,0.146590415,2.732179692,1.446028287,0.07765854,0.496302857,3.02692232,0.02080991,0.248010611,0.834261854
524.2424242,6373.737374,0.055956935,0.147713114,0.119044064,0.147863969,2.728963623,1.451901762,0.078890129,0.495228327,3.028633545,0.021599669,0.237308087,0.836377498
527.2727273,6373.737374,0.053794543,0.14802599,0.120303892,0.149100809,2.725793616,1.457720054,0.080131275,0.494179284,3.030184428,0.02231444,0.227628672,0.838135811
530.3030303,6373.737374,0.051813236,0.148172274,0.121542923,0.150307187,2.722672798,1.463476947,0.081382532,0.493159371,3.031599798,0.022965049,0.218801316,0.839616508
533.3333333,6373.737374,0.049979406,0.148173821,0.122764641,0.151486003,2.71958251,1.469199163,0.082643518,0.492167646,3.032898428,0.023558787,0.210695777,0.840870936
536.3636364,6373.737374,0.048263445,0.148091589,0.123979872,0.152656368,2.716540774,1.474858928,0.083913183,0.49119822,3.034096094,0.024102405,0.203214724,0.841935196
539.3939394,6373.737374,0.046661872,0.147900227,0.125180915,0.15380415,2.713526314,1.480486556,0.085191844,0.490254706,3.035204422,0.024600699,0.196273351,0.842841294
542.4242424,6373.737374,0.045148938,0.147615929,0.126363669,0.154923202,2.710551945,1.4860543,0.08647936,0.489339398,3.036234588,0.025057832,0.189803579,0.843610804
545.4545455,6373.737374,0.043734864,0.147277334,0.127557916,0.156058473,2.707614632,1.491577747,0.087780949,0.488430666,3.037192874,0.025479389,0.183749841,0.844262279
548.4848485,6373.737374,0.042392047,0.146856455,0.128724135,0.157151734,2.704687481,1.497081467,0.089086053,0.487557647,3.038088001,0.025866661,0.178073716,0.844808546
551.5151515,6373.737374,0.04112268,0.146405666,0.129893541,0.158251606,2.701809139,1.502519599,0.090402478,0.486692189,3.038925286,0.026223041,0.172731072,0.845260629
554.5454545,6373.737374,0.039914782,0.145885531,0.131047419,0.15932632,2.69895174,1.507933065,0.091728949,0.485847169,3.039709528,0.026551639,0.167686921,0.845628531
557.5757576,6373.737374,0.03876986,0.145328263,0.132196057,0.160394326,2.69612103,1.513304913,0.093064145,0.485019169,3.04044478,0.026854815,0.16291846,0.845918101
560.6060606,6373.737374,0.037681174,0.144718994,0.133333879,0.16144528,2.693316692,1.518631311,0.094403158,0.484214568,3.041136568,0.027133624,0.158394504,0.846136825
563.6363636,6373.737374,0.036638862,0.144086537,0.134466523,0.162489589,2.690530294,1.52393735,0.095756763,0.483411152,3.041786585,0.027389891,0.154099534,0.846287916
566.6666667,6373.737374,0.034899401,0.135744192,0.133788901,0.159859853,2.694019383,1.524052145,0.097601114,0.47502238,3.042578703,0.027389867,0.149888093,0.848752821
569.6969697,6373.737374,0.033657795,0.125295169,0.131397281,0.15484232,2.692712026,1.526865577,0.098351683,0.46025258,3.043348553,0.02717655,0.145214676,0.850789744
572.7272727,6373.737374,0.032994442,0.127427112,0.131905694,0.155711597,2.690811501,1.530690302,0.099954439,0.459389844,3.044245999,0.027550954,0.14030152,0.850589516
575.7575758,6373.737374,0.032363358,0.129542086,0.13241569,0.156588068,2.688939445,1.534447512,0.101570329,0.458540494,3.045098636,0.027902518,0.135657004,0.8503191
578.7878788,6373.737374,0.031755663,0.131592614,0.132918041,0.157451082,2.687087766,1.538167768,0.103201721,0.457715039,3.045908908,0.0282293,0.131259126,0.849980773
581.8181818,6373.737374,0.031174784,0.133674268,0.13343269,0.158342256,2.685259089,1.541831959,0.10485116,0.456892938,3.046684648,0.02854131,0.127084626,0.849574139
584.8484848,6373.737374,0.030618747,0.135696197,0.133935714,0.159215759,2.683441602,1.545481638,0.106500826,0.456095664,3.047417528,0.02882718,0.123124466,0.849101179
587.8787879,6373.737374,0.030084534,0.137673121,0.134424627,0.160069586,2.681650143,1.549067771,0.108172195,0.45530907,3.048120133,0.029097337,0.119346472,0.848561918
590.9090909,6373.737374,0.029571121,0.139612978,0.134911652,0.160921867,2.679866756,1.552641606,0.10985128,0.454536958,3.048791286,0.029351319,0.115743322,0.847954443
593.9393939,6373.737374,0.029078889,0.141537924,0.135391374,0.161768696,2.678134813,1.556119196,0.111548028,0.453773742,3.049432701,0.029590627,0.112305089,0.847276228
596.969697,6373.737374,0.028608946,0.143471583,0.135871023,0.162623376,2.676394223,1.559603116,0.113254405,0.453018576,3.050046232,0.029812534,0.109015783,0.846526429
600,6373.737374,0.028155952,0.145372226,0.136336991,0.163461545,2.674682047,1.563030632,0.114975526,0.452271749,3.050634131,0.030021275,0.105866435,0.845701222
603.030303,6373.737374,0.02772224,0.147235052,0.136804854,0.164301298,2.67299483,1.566407692,0.116707081,0.451535063,3.051196332,0.030214881,0.102847413,0.844797672
606.0606061,6373.737374,0.027306288,0.148808055,0.13716964,0.16496125,2.671195796,1.569822055,0.118400082,0.450442059,3.051729467,0.030379199,0.09995447,0.843824316
609.0909091,6373.737374,0.026913282,0.150036145,0.13742228,0.165419771,2.669276594,1.573258684,0.120039887,0.448901787,3.052231345,0.030508608,0.097173351,0.842779459
612.1212121,6373.737374,0.026535358,0.1513099,0.137676503,0.165891975,2.667381487,1.576645073,0.121686883,0.447383542,3.052713011,0.030627413,0.094499954,0.841636358
615.1515152,6373.737374,0.026179236,0.152518548,0.137915725,0.166339395,2.665493944,1.580006095,0.123342188,0.445889886,3.053175963,0.030734157,0.091921113,0.840390755
618.1818182,6373.737374,0.025845175,0.153810174,0.138159583,0.166812175,2.663635933,1.583309472,0.125009782,0.444414538,3.053618954,0.030833219,0.089437079,0.839033463
621.2121212,6373.737374,0.025520984,0.155099537,0.138398855,0.167282058,2.661790526,1.586580805,0.126686832,0.442964064,3.054043221,0.030921553,0.087037639,0.837554231
624.2424242,6373.737374,0.025214917,0.156359997,0.138625035,0.167735035,2.659965618,1.589807889,0.128371272,0.441535562,3.054452361,0.031001924,0.084719896,0.83594334
627.2727273,6373.737374,0.024927516,0.157576101,0.138834387,0.168163806,2.658151365,1.593003974,0.130065074,0.440120714,3.054844377,0.031073023,0.082475801,0.834187392
630.3030303,6373.737374,0.024665377,0.158895623,0.139051664,0.168627332,2.656362346,1.596149862,0.131768921,0.438729745,3.055220964,0.031136288,0.08030386,0.83226967
633.3333333,6373.737374,0.024409381,0.1601842,0.139265067,0.169081819,2.65458732,1.599260492,0.133481887,0.437360073,3.055582003,0.031193327,0.078200257,0.830169557
636.3636364,6373.737374,0.024187391,0.161469666,0.139464497,0.169526508,2.652826597,1.602336098,0.135202285,0.436011264,3.05592886,0.031243125,0.076151893,0.827868508
639.3939394,6373.737374,0.02405706,0.163733356,0.139350743,0.169806751,2.651303678,1.604781083,0.13699795,0.434311911,3.056375737,0.031329445,0.073931171,0.825162338
642.4242424,6373.737374,0.024024465,0.166898073,0.138940121,0.169927739,2.649996815,1.606640989,0.138867527,0.432303788,3.05691653,0.031448037,0.071559471,0.821961833
645.4545455,6373.737374,0.025869891,0.168361526,0.139491814,0.171218171,2.648352238,1.608246264,0.140569397,0.433536086,0,0,0,0.810313559
648.4848485,6373.737374,0.025511005,0.164530956,0.142638626,0.174210766,2.650716399,1.605968732,0.142399644,0.437931352,0,0,0,0.809092649
651.5151515,6373.737374,0.025163699,0.160756341,0.145804273,0.177206068,2.652920528,1.603752816,0.144201033,0.442164292,0,0,0,0.807866566
654.5454545,6373.737374,0.024832454,0.154302602,0.148023681,0.178400038,2.653530992,1.602442551,0.145188332,0.442510398,0,0,0,0.806892389
657.5757576,6373.737374,0.024498455,0.147890458,0.150281815,0.179628121,2.654157286,1.601094707,0.146189203,0.442903355,0,0,0,0.805904765
660.6060606,6373.737374,0.024179978,0.141607312,0.152580729,0.180915248,2.654779571,1.599747679,0.147208765,0.443345406,0,0,0,0.804904094
663.6363636,6373.737374,0.023867334,0.135236282,0.154924029,0.182216238,2.655371013,1.598459951,0.148187898,0.443867746,0,0,0,0.80388932
666.6666667,6373.737374,0.023561909,0.128963325,0.157296515,0.183551074,2.655936237,1.597204158,0.14919275,0.444454247,0,0,0,0.802861063
669.6969697,6373.737374,0.023264622,0.122743822,0.159730361,0.184949108,2.656504379,1.595947687,0.150202452,0.445126097,0,0,0,0.801817874
672.7272727,6373.737374,0.022979664,0.116605957,0.162174159,0.186356034,2.657040265,1.594731558,0.151212242,0.445886962,0,0,0,0.800759419
675.7575758,6373.737374,0.022692283,0.110564507,0.164701965,0.187858533,2.657570053,1.593523171,0.152236516,0.446749522,0,0,0,0.799684504
678.7878788,6373.737374,0.022419047,0.104581141,0.167262537,0.189387861,2.658085345,1.592336821,0.153246356,0.447727203,0,0,0,0.798592249
681.8181818,6373.737374,0.022147777,0.098709138,0.169899248,0.191008619,2.658548514,1.591229556,0.154283285,0.448840974,0,0,0,0.797482578
684.8484848,6373.737374,0.021891811,0.092967133,0.172594196,0.192699402,2.659003837,1.590129042,0.155320034,0.450102842,0,0,0,0.79635429
687.8787879,6373.737374,0.021633374,0.087420405,0.175378339,0.194505522,2.659444608,1.589038544,0.156385247,0.451506984,0,0,0,0.795203768
690.9090909,6373.737374,0.021386642,0.082022393,0.178244881,0.196414842,2.659874697,1.587966308,0.15744261,0.453104211,0,0,0,0.794031289
693.9393939,6373.737374,0.021147801,0.076801014,0.181193397,0.198427804,2.660232075,1.58699696,0.158525872,0.454890062,0,0,0,0.792836705
696.969697,6373.737374,0.020917866,0.07174018,0.184217264,0.200532018,2.660603874,1.586013385,0.159634277,0.45690522,0,0,0,0.791616115
700,6373.737374,0.020692539,0.066970895,0.187368783,0.202814102,2.660944759,1.585060016,0.160743323,0.459140593,0,0,0,0.790368331
400,6454.545455,0.290190195,0.342160419,0.015652637,0.039551402,2.928337255,1.110274292,0.046443822,0.288885183,3.07939002,0.043120284,0.149327942,0.984537931
403.030303,6454.545455,0.291094649,0.329616836,0.016626934,0.041045551,2.927926806,1.112896144,0.047290963,0.295024954,3.076078197,0.041664824,0.15571992,0.98314574
406.0606061,6454.545455,0.290935072,0.318074142,0.017644897,0.042516973,2.926777362,1.116326712,0.048121625,0.300673615,3.07285705,0.040213523,0.16219208,0.981769378
409.0909091,6454.545455,0.286604451,0.310261501,0.018675995,0.043723279,2.922936657,1.12238622,0.048842789,0.303697486,3.069658124,0.038600404,0.168621733,0.980781824
412.1212121,6454.545455,0.27763778,0.30882534,0.019804726,0.045023297,2.91512268,1.132230914,0.049415695,0.306734321,3.067284186,0.037412891,0.173020661,0.912612849
