Temperature,Pressure,x_gr_[Grt],x_spss_[Grt],tot x_prp,Mg#_[Grt],Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],Si_pfu_[mu],x_cel_[mu],x_pa_[mu],x_ab_[Pl],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500.7575758,5000,0.059580545,0.195194941,0.082870333,0.110096788,2.732547266,0.065197301,0.406789353,3.016039049,0.013436593,0.278149574,0.790964494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503.7878788,5000,0.056675144,0.181167642,0.086532054,0.112451869,2.725885089,0.065587421,0.410189422,3.014534898,0.012845961,0.28564071,0.788261867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506.8181818,5000,0.051464256,0.204865815,0.094822026,0.126318589,2.720021644,0.067549903,0.445990019,3.014757761,0.013349931,0.28888001,0.80216355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509.8484848,5000,0.046643664,0.232419579,0.10374133,0.142587532,2.714436809,0.06984278,0.484534024,3.015095043,0.013926303,0.291243927,0.815534864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512.8787879,5000,0.043858969,0.237249818,0.10603792,0.146154801,2.709494656,0.071036439,0.488886669,3.01671934,0.014649285,0.280275421,0.822536137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515.9090909,5000,0.041945086,0.237395135,0.107110108,0.147280645,2.705991247,0.072173737,0.487597109,3.018475518,0.0154135,0.267197339,0.826084495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518.9393939,5000,0.040241591,0.237330952,0.108153397,0.148360072,2.702552268,0.073321289,0.486336537,3.02005593,0.016108432,0.255474289,0.828981455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521.969697,5000,0.038691352,0.237110467,0.109179461,0.149409055,2.69914853,0.074478361,0.485082011,3.021491448,0.016744031,0.244854419,0.831392028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,5000,0.037282977,0.236731983,0.110185004,0.150420965,2.695826574,0.075645097,0.483900682,3.02280645,0.017328226,0.235139632,0.833420331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528.030303,5000,0.03598475,0.236272127,0.111184239,0.151423976,2.692534688,0.076821109,0.482726929,3.02401424,0.017865086,0.226235411,0.835137133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531.0606061,5000,0.034776143,0.235736693,0.112177615,0.152416277,2.68929935,0.078006798,0.481583763,3.02513082,0.018359343,0.218018742,0.836598797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.0909091,5000,0.033651704,0.235137663,0.113165348,0.15339958,2.686107842,0.079201789,0.480465937,3.026166087,0.018815855,0.210400749,0.83784822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537.1212121,5000,0.032597598,0.23444064,0.114140204,0.154355223,2.68295243,0.080405288,0.479383902,3.027130864,0.01923751,0.203302613,0.838917282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
