Temperature,Pressure,Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],x_ab_[Pl],x_tts_[Amp],Na_M4_[Amp],Ed_[Amp],Ts_[Amp],Al_pfu_[Cpx],Mg#_[Cpx],Ca_[Cpx],xjd_tot_[Cpx]
715.6565657,2808.080808,2.905121334,0.16796539,0.588043664,0.43709274,0.042776447,0.025032926,0.413700424,0.8943235,0.01470179,0.63454668,0.912787544,0.01470179
717.6767677,2808.080808,2.905036433,0.168471402,0.588214083,0.435135024,0.043342006,0.024825169,0.417708241,0.899562272,0.014760937,0.634609316,0.913099005,0.014760937
719.6969697,2808.080808,2.904961865,0.168973081,0.588370618,0.433104444,0.043913559,0.024615339,0.421749879,0.904878795,0.014821206,0.634807714,0.913429902,0.014821206
721.7171717,2808.080808,2.9048815,0.1694778,0.588527417,0.431000503,0.044483167,0.024403399,0.425729125,0.91000072,0.014875394,0.634887205,0.913757548,0.014875394
723.7373737,2808.080808,2.90474089,0.169975891,0.588668211,0.42881578,0.045059293,0.024193144,0.42976223,0.915215105,0.014932898,0.635064775,0.914117564,0.014932898
725.7575758,2808.080808,2.904669781,0.170472915,0.588831024,0.426560238,0.045636915,0.023960895,0.433708391,0.920414142,0.01499066,0.63518395,0.914448102,0.01499066
727.7777778,2808.080808,2.904575279,0.170974599,0.58899756,0.424227096,0.046218072,0.023735456,0.437675858,0.925553693,0.015043929,0.635353199,0.914819871,0.015043929
729.7979798,2808.080808,2.904439688,0.171476171,0.589171294,0.421820496,0.046804881,0.023506922,0.441667808,0.930776063,0.015097586,0.635521303,0.915186311,0.015097586
731.8181818,2808.080808,2.904318299,0.171969989,0.589318754,0.419316207,0.047389322,0.023269344,0.445565633,0.935819623,0.015149783,0.635750261,0.915580342,0.015149783
733.8383838,2808.080808,2.904182806,0.17247926,0.589548487,0.416745748,0.047985005,0.023038063,0.44956955,0.94106044,0.015202651,0.635888015,0.91595493,0.015202651
735.8585859,2808.080808,2.904069667,0.172980493,0.589705083,0.414098623,0.04857602,0.022795352,0.45346753,0.946130139,0.015253448,0.636112385,0.916353956,0.015253448
